Highway,Side,Between,Prohibited Times and/or Days
Bay Street,East,Front Street West and a point 39 metres further north,"7:00 p.m. to 7:00 a.m., Mon. to Fri.; Anytime, Sat., Sun. and public holidays"
Auburn Avenue,North,Via Italia and Dufferin Street,Anytime
Baker Avenue,West,Walmsley Boulevard and a point 30.5 metres south,Anytime
Baldwin Street,North,Beverley Street and a point 60 metres west,"9:15 a.m. to 2:30 p.m., 3:30 p.m. to 6:00 p.m., Mon. to Fri."
Baldwin Street,North,Spadina Avenue and a point 53.3 metres east,Anytime
Belle Ayre Boulevard,West,Millwood Road and Davisville Avenue,Anytime
Bay Street,East,A point 68 metres north of Front Street West and a point 42 metres north of Wellington Street West,"7:00 p.m. to 7:00 a.m., Mon. to Fri.; Anytime, Sat., Sun. and public holidays"
Bay Street,East,A point 77 metres north of Wellington Street West and King Street West,"7:00 p.m. to 7:00 a.m., Mon. to Fri.; Anytime, Sat., Sun. and public holidays"
Auburn Avenue,South,Greenlaw Avenue and Via Italia,Anytime
Baldwin Street,South,Spadina Avenue and McCaul Street,Anytime
Bellefair Avenue,East,Juniper Avenue and Queen Street East,Anytime
Bay Street,West,A point 16 metres south of Hagerman Street and a point 12 metres further south,"10:00 a.m. to 4:00 p.m., 6:00 p.m. of one day to 7:30 a.m. of the next following day, Mon. to Fri., Anytime, Sat. and Sun."
Bay Street,West,A point 53 metres south of Hagerman Street and a point 21.5 metres further south,"10:00 a.m. to 4:00 p.m., 6:00 p.m. of one day to 7:30 a.m. of the next following day, Mon. to Fri., Anytime, Sat. and Sun."
Balfour Avenue,North,A point 59.4 metres west of Dawes Road and Palmer Street,"8:00 a.m. to 5:00 p.m., Mon. to Fri."
Balfour Avenue,North,Dawes Road and a point 35 metres west,Anytime
Balfour Avenue,South,Dawes Road and Barrington Avenue,Anytime
Bellhaven Road,West,Eastwood Road and Gerrard Street East,Anytime
Bay Street,West,A point 74.7 metres south of Hagerman Street and a point 123.3 metres further south,"7:00 p.m. to 7:00 a.m., Mon. to Fri.; Anytime, Sat., Sun. and public holidays"
Bay Street,West,A point 198 metres south of Hagerman Street and a point 20 metres further south,Anytime
Bay Street,West,A point 248 metres south of Hagerman Street and Queen Street West,Anytime
Bellwoods Avenue,East,Queen Street West and Dundas Street West,Anytime
Bay Street,West,Hagerman Street and a point 16 metres south,Anytime
Bay Street,West,Queen Street West and Front Street West,"7:00 p.m. to 7:00 a.m., Mon. to Fri.; Anytime, Sat., Sun. and public holidays"
Augusta Avenue,East,Queen Street West and Richmond Street West,Anytime
Augusta Avenue,West,Queen Street West and a point 30.5 metres north of Grange Avenue,Anytime
Balmoral Avenue,North,Avenue Road and Warren Road,Anytime
Bay Street,West,A point 132.6 metres north of Scollard Street and a point 41.1 metres further north,8:30 a.m. to 6:00 p.m.
Bay Street,West,Scollard Street and a point 36 metres north,Anytime
Bay Street,West,A point 27 metres south of Yorkville Avenue and a point 18 metres further south,Anytime
Augusta Avenue,West,Queen Street West and the lane first north of Richmond Street West,7:00 a.m. to 5:00 p.m.
Balmoral Avenue,North,Yonge Street and a point 92 metres west,Anytime
Balmoral Avenue,South,Avenue Road and a point 30 metres west,Anytime
Balmoral Avenue,South,Yonge Street and Avenue Road,Anytime
Bellwoods Place,Both,Bellwoods Avenue and Claremont Street,Anytime
Belmont Street,North,Yonge Street and Davenport Road,8:00 a.m. to 6:00 p.m.
Belmont Street,South,Yonge Street and Davenport Road,Anytime
Ascot Avenue,South,A point 53.5 metres west of Dufferin Street and a point 14.5 metres further west,"10:00 a.m. to 11:30 a.m. and 1:30 p.m. to 3:30 p.m., Mon. to Fri."
Ashburnham Road,North,McFarland Avenue and Greenlaw Avenue,Anytime
Austin Crescent,North,Austin Terrace (north intersection) and the east end of Austin Crescent,"8:00 a.m. to 4:00 p.m., Mon. to Fri."
Austin Crescent,South and west,Austin Terrace (north intersection) and the east end of Austin Crecent,"6:00 a.m. to 10:00 a.m., Mon. to Fri."
Austin Terrace,North,Hilton Avenue and a point 37 metres west,Anytime
Balsam Avenue,East,Beech Avenue and a point 90 metres south,Anytime
Balsam Avenue,East,A point 45.7 metres north of Queen Street East and a point 41.1 metres further north,"7:30 a.m. to 4:00 p.m., Mon. to Fri."
