Highway,Side,Between,Prohibited Times and/or Days
Balsam Avenue,East,Queen Street East and Hubbard Boulevard,Anytime
Ashburnham Road,North,McFarland Avenue and Greenlaw Avenue,"Anytime, except the 1st Wed. and 3rd Wed. of each month, Apr. 1 to Nov. 30, inclusive"
Ashburnham Road,South,McFarland Avenue and Greenlaw Avenue,"Anytime, on the 1st Wed. and 3rd Wed. of each month, Apr. 1 to Nov. 30, inclusive"
Austin Terrace,North,Walmer Road (west intersection) and Spadina Road,Anytime
Ava Road,North,Bathurst Street and a point 30.5 metres east,Anytime
Balsam Road,South,Balsam Avenue and the west end of Balsam Road,Anytime
Banff Road,East,Eglinton Avenue East and a point 48.5 metres south,Anytime
Barnaby Place,East,Edward Street and Elm Street,Anytime
Chatsworth Drive,South,Yonge Street and Duplex Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Chatsworth Drive,West,Cheritan Avenue and Lawrence Avenue West,Anytime
Chelsea Avenue,North,Dundas Street West and Dorval Road,Anytime
Chelsea Avenue,South,Dorval Road and Indian Road,Anytime
Cheritan Avenue,Both,Cortland Avenue and Greer Road,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Cheritan Avenue,Both,Greer Road and a point approximately 45.7 metres west,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Chicora Avenue,North,Avenue Road and Bedford Road,Anytime
Christie Street,East,Dupont Street and a point 68 metres south,Anytime
Christie Street,East,Follis Avenue and a point 6.4 metres north of a point opposite the north limit of Garnet Avenue,Anytime
Carr Street,North,Denison Avenue and Bathurst Street,Anytime
Cheritan Avenue,North,Cortland Avenue and Duplex Avenue,"4:00 a.m. to 7:00 a.m., Sun."
Cheritan Avenue,North,Rosewell Avenue and a point 73.2 metres east,"8:30 a.m. to 6:00 p.m., Mon. to Fri."
Cheritan Avenue,South,Rosewell Avenue and a point 77.7 metres east,8:30 a.m. to 6:00 p.m.
Christie Street,West,Dupont Street and Garnet Avenue,Anytime
Carus Avenue,South,Ossington Avenue and the east end of Carus Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Chadwick Avenue,Both,Spadina Road and Vesta Drive,2:00 a.m. to 10:00 a.m.
Chambers Avenue,East,Howick Avenue and Rockwell Avenue,Anytime
Cherry Nook Gardens,South,Greenwood Avenue and the east end of Cherry Nook Gardens,Anytime
Christie Street,West,Essex Street and Barton Avenue,Anytime
Chudleigh Avenue,Both,Cortland Avenue and Duplex Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Casci Avenue,North,Coxwell Avenue and the east end of Casci Avenue,Anytime
Casimir Street,West,Dundas Street West and the north end of Casimir Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Cassels Avenue,South,Woodbine Avenue and the east end of Cassels Avenue,Anytime
Chambers Avenue,East,Rockwell Avenue and Turnberry Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Chambers Avenue,East,Rowntree Avenue and a point 40 metres north of Rowntree Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Cherry Street,East,A point 70 metres north of Unwin Avenue and a point 35 metres further north,Anytime (buses excepted)
Castle Frank Crescent,West and south,Bloor Street East and the north end of Castle Frank Crescent,Anytime
Castle Frank Road,North and east,Bloor Street East and Elm Avenue/Nanton Avenue,Anytime
Castle Frank Road,West and south,Dale Avenue and Nanton Avenue,"9:00 a.m. to 11:00 a.m., Mon. to Fri."
Chandos Avenue,South,Dufferin Street and the west end of Chandos Street,Anytime
Chaplin Crescent,Both,Roselawn Avenue and Briar Hill Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Chaplin Crescent,Both,Russell Hill Road and Eglinton Avenue West,Anytime
Cherry Street,East,A point 130 metres north of Unwin Avenue and a point 30 metres further north,Anytime (buses excepted)
Claremont Street,East,Queen Street West and Robinson Street,Anytime
Claremont Street,West,Mansfield Avenue and Queen Street West,Anytime
Castle Frank Road,West,A point 110 metres north of Dale Avenue and a point 30 metres further north,Anytime
Chaplin Crescent,East,Roselawn Avenue and a point 64 metres north,Anytime
Chaplin Crescent,North and east,Eglinton Avenue West and Roselawn Avenue,Anytime
Chaplin Crescent,North,Russell Hill Road and Duplex Avenue,Anytime
Chudleigh Avenue,North,Chatsworth Drive and Duplex Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Castle Knock Road,East,Burnaby Boulevard and Willowbank Boulevard,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Castle Knock Road,East,Eglinton Avenue West and Burnaby Boulevard,Anytime
Chaplin Crescent,South and west,A point 329.5 metres north of Eglinton Avenue West and Roselawn Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Church Street,West,A point 52 metres south of Shuter Street and a point 9 metres further south,Anytime
Church Street,South,Yonge Street and Bloor Street West,"3:30 p.m. to 6:30 p.m., Mon. to Fri, except public holidays"
Castle Knock Road,East,Elwood Boulevard and a point 41 metres south of Roselawn Avenue,"8:00 a.m. to 10:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri."
Castle Knock Road,West,Crestview Road and a point 36.5 metres south of Roselawn Avenue,"8:00 a.m. to 10:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri."
Chaplin Crescent,South and west,Lascelles Boulevard and Russell Hill Road,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Chaplin Crescent,South,Lascelles Boulevard and Duplex Avenue,Anytime
Chesley Avenue,South,Brock Avenue and the east end of Chesley Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Clarendon Avenue,North,Avenue Road and Russell Hill Road,Anytime
Castle Knock Road,West,Eglinton Avenue and Crestview Road,Anytime
Castlefield Avenue,North,Bathurst Street and Castlewood Road,Anytime
Chester Avenue,East,Danforth Avenue and a point 92 metres north,Anytime
Chester Avenue,West,Danforth Avenue and Browning Avenue,Anytime
Chestnut Park,North and east,Thornwood Road and Roxborough Street East (most easterly roadway),"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Church Street,East,Gerrard Street East and McGill Street,Anytime
Charles Street East,North,Yonge Street and a point 75.6 metres further east,Anytime
Chestnut Park,East,Roxborough Street East (most westerly roadway) and Chestnut Park paralleling Roxborough Street East,Anytime
Chestnut Park,West,Roxborough Street East (first and second intersections east of Cluny Drive) and Chestnut Park paralleling Roxborough Street East,Anytime
Church Street,South,Yonge Street and Bloor Street East,"3:30 p.m. to 6:30 p.m., Mon. to Fri., except public holidays"
Churchill Avenue,North,Dovercourt Road and Ossington Avenue,Anytime
Castlewood Road,East,Eglinton Avenue West and a point 45.7 metres north,Anytime
Castlewood Road,West,Eglinton Avenue and Crestview Road,Anytime
Cavell Avenue,North,A point 93 metres east of Pape Avenue and a point 4 metres further east,Anytime
Chestnut Park,East,Roxborough Street East (second intersection east of Cluny Drive) and Chestnuk Park paralleling Roxborough Street East,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Chestnut Park,East,Roxborough Street East (first intersection east of Cluny Drive) and Chestnut Park paralleling Roxborough Street East,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Church Street,West,Carlton Street and Wood Street,Anytime
Cavell Avenue,North,Pape Avenue and Carlaw Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Cavell Avenue,South,Pape Avenue and the east end of Cavell Avenue,Anytime
Charles Street West,North,Yonge Street and Balmuto Street,"8:00 a.m. to 6:00 p.m., Mon. to Sat."
Chestnut Park,North,Roxborough Street East (most westerly intersection) and Thornwood Road,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Chestnut Park,South and west,Roxborough Street East (most westerly intersection) and Roxborough Street East (most easterly intersection),Anytime
Church Street,East,Granby Street and Carlton Street,Anytime
Church Street,East,Monteith Street and a point 65.5 metres south,Anytime
Cawthra Avenue,East,Lloyd Avenue and a point 83.8 metres north of a point opposite the north limit of Hirons Street,Anytime
Cawthra Avenue,West,A point 67 metres north of Hirons Street and a point 34 metres further north,8:00 a.m. to 6:00 p.m.
Cawthra Square,South,Jarvis Street and the west end of Cawthra Square,Anytime
Cinder Avenue,North,Crawford Street and Montrose Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Claremont Place,Both,Claremont Street and St. Mathias Place,Anytime
Claremont Street,East,A point 59 metres south of Mansfield Avenue and a point 7 metres further south,Anytime
Cecil Street,North,Spadina Avenue and Henry Street,Anytime
Cecil Street,South,A point 48.8 metres east of Spadina Avenue and a point 24.4 metres further east,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Cecil Street,South,Huron Street and a point 30.5 metres west,Anytime
Chatham Avenue,South,A point opposite Byron Avenue and Greenwood Avenue,Anytime
Church Street,West,Dundonald Street and a point 45.7 metres south,Anytime
Cecil Street,South,Spadina Avenue and a point 45.7 metres east,Anytime
Cedar Avenue,South,Beech Avenue and Willow Avenue,Anytime
Chatsworth Drive,North,A point 121.9 metres west of Yonge Street and Duplex Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Chatsworth Drive,North,Yonge Street and a point 121.9 metres west,Anytime
Chatsworth Drive,South,Duplex Avenue and Cheritan Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Chestnut Street,West,A point 34 metres north of Dundas Street West and Edward Street,Anytime
Carlyle Street,East,Dundas Street West and Wales Avenue,Anytime
Brydale Road,West,Hogarth Avenue and Wolfrey Avenue,Anytime
Brynhurst Court,West,Sheldrake Boulevard and the north end of Brynhurst Court,Anytime
Buller Avenue,South,Kippendavie Avenue and the west end of Buller Avenue,Anytime
Brock Avenue,West,A point 237.9 metres north of College Street and Brock Crescent,"Each Thu., Apr. 1 to Nov. 30"
Brock Avenue,West,College Street and a point 30.5 metres south,Anytime
Brock Avenue,West,College Street and a point 51.8 metres north,8:30 a.m. to 6:00 p.m.
Cardiff Road,West,Eglinton Avenue East and a point 61 metres north,Anytime
Cardinal Place,Both,Lawrence Avenue East and Wanless Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Carey Road,North,Cuthbert Crescent and Tullis Drive,Anytime
Carlton Street,South,Central Hospital Lane and Jarvis Street,"7:00 a.m. to 9:00 a.m., Mon. to Fri., except public holidays"
Carlton Street,South,Church Street and a point 57.9 metres east,Anytime
Carlton Street,South,Parliament Street and the lane first east,Anytime
Brant Street,West,Adelaide Street West and a point 27 metres south,6:01 a.m. to 8:59 p.m.
Brant Street,West,A point 50 metres south of Adelaide Street West and King Street West,6:01 a.m. to 8:59 p.m.
Brock Avenue,West,Dundas Street West and Hickson Street,Anytime
Carlaw Avenue,East,A point 86 metres north of Cruikshank Avenue (north intersection) and a point 26 metres further north,Anytime
Carlaw Avenue,East,A point 112 metres north of Cruikshank Avenue (north intersection) and a point 43 metres north of Fulton Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Burlington Crescent,South,Alberta Avenue Oakwood Avenue,"Anytime, on the 1st Thu. and 3rd Thu. of each month, Apr. 1 to Nov. 30, inclusive"
Burnaby Boulevard,North,Avenue Road and Heddington Avenue,Mon. to Sat.
Brock Avenue,West,Queen Street West and Seaforth Avenue,Anytime
Brock Crescent,North,Brock Avenue and the east end of Brock Crescent,Anytime
Brock Crescent,South,Brock Avenue and the east end of Brock Crescent,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Carlaw Avenue,East,A point 38 metres north of Danforth Avenue and a point 46.4 metres north of Fulton Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Carlaw Avenue,East,A point 93 metres south of Dundas Street East and a point 63 metres south of Dundas Street East,Anytime
Burnaby Boulevard,South,Oriole Parkway and Avenue Road,Anytime
Brockton Avenue,Both,Brock Avenue and the east end of Brockton Avenue,Anytime
Brookdale Avenue,South,Elm Road and a point 141.4 metres west of Elm Road,Anytime
Brookdale Avenue,North,Greer Road and a point 128 metres further west,8:00 a.m. to 6:00 p.m.
Carlaw Avenue,East,A point 63 metres south of Dundas Street East and Gerrard Street East,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
Carlaw Avenue,East,Danforth Avenue and a point 30.5 metres south,Anytime
Carlaw Avenue,East,Danforth Avenue and a point 22 metres north,Anytime
Burnfield Avenue,South,Ossington Avenue and Shaw Street,Anytime
Burton Road,North,Spadina Road and Vesta Drive,Anytime
Busy Street,North,Logan Street and Verral Avenue,Anytime
Brentdale Drive,Both,Lawton Boulevard and Lascelles Boulevard,Anytime
Brookdale Avenue,South,Yonge Street and Jedburgh Road,Anytime
Brookfield Street,West,Queen Street West and Humbert Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Carlaw Avenue,East,Danforth Avenue and a point 86 metres north of Cruikshank Avenue (north intersection),"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Busy Street,South,Logan Avenue and a point 52 metres east,Anytime
Butternut Street,North,Ellerbeck Street and Jackman Avenue,Anytime
Byron Avenue,West,Danforth Avenue and Chatham Avenue,Anytime
Briar Hill Avenue,North,A point 30.5 metres east of Bathurst Street and a point opposite the east street line of Chaplin Crescent,"8:00 a.m. to 6:00 p.m., Mon. to Fri."
Briar Hill Avenue,North,Yonge Street and Rosewell Avenue,Anytime
Briar Hill Avenue,South,Duplex Avenue and a point 49.5 metres west,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Brooklyn Avenue,Both,Queen Street East and the first lane north,Anytime
Brooklyn Avenue,West,Lane first north of Queen Street East and Dundas Street East,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Carlaw Avenue,East,Eastern Avenue and a point 56 metres further north,Anytime
Carlaw Avenue,East,A point 76.6 metres north of Lake Shore Boulevard East and a point 20.4 metres further north,Anytime
Cairns Avenue,North,Highcroft Road and Gainsborough Road,Anytime
Caithness Avenue,East,Danforth Avenue and Strathmore Boulevard,Anytime
Briar Hill Avenue,South,A point 60.5 metres west of Duplex Avenue and Rosewell Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri."
Briar Hill Avenue,South,Avenue Road and Newgate Road,Anytime
Bridgman Avenue,North,Dartnell Avenue and Kendal Avenue,Anytime
Brookmount Road,East,Queen Street East and Columbine Avenue,Anytime
Brookside Drive,Both,Kingston Road and Corley Avenue,Anytime
Brookside Drive,East,Corley Avenue and Gerrard Street East,"Anytime, from Apr. 1 to Nov. 30, inclusive"
Carlaw Avenue,East,Queen Street East and a point 33.5 metres further south,Anytime
Caithness Avenue,East,Glebeholme Boulevard and Milverton Boulevard,"Anytime, from the 1st day to the 15th day of each month, Apr. 1 to Nov. 30, inclusive"
Caithness Avenue,West,Glebeholme Boulevard and Milverton Boulevard,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive"
Brigden Place,Both,Ontario Street and the west end of Brigden Place,Anytime
Brighton Avenue,North,Pape Avenue and the east end of Brighton Avenue,Anytime
Brookside Drive,East,Gerrard Street East and the north end of Brookside Drive,Anytime
Brookside Drive,West,A point 33.5 metres south of Beachview Crescent and a point 16.8 metres further south,Anytime
Carlaw Avenue,East,Queen Street East and a point 93 metres south of Dundas Street East,"4:00 p.m. to 6:00 p.m., Mon. to Fri., except public holidays"
